longitude,latitude
4.8689407000000005,45.7410332
4.834612100000001,45.7569848
2.6428937,43.1852149
2.5816222000000004,45.0285569
1.5120412,43.5408025
1.5220926,43.6436341
2.4229309,42.6179663
4.8335068,45.7660411
6.6645623,43.210805
4.870509,45.7444049
3.9126008999999997,43.6594048
4.784250200000001,45.7444471
4.833547500000001,45.7628507
4.8490984,45.7694682
4.4064065,43.7729139
4.8357566,45.7716469
4.833707000000001,45.75816650000001
-0.1553793,42.8823131
4.0796185,44.1257113
4.8457064,45.7441506
3.8701224,43.62944530000001
3.8706242,43.6300571
7.708517099999998,44.3018336
5.0279309,45.2563439
5.024258700000001,45.2544676
6.201145600000001,45.2042211
6.201168399999999,45.2035741
6.022048,45.431658000000006
1.4716040999999997,43.561097399999994
1.4720190000000002,43.56067070000001
1.4723407999999998,43.5608366
1.4719245000000003,43.561262600000006
4.7835488,44.514922000000006
-0.38296690000000005,42.7625673
-0.4132234,42.7791398
-0.3721433,42.7748435
4.864275900000001,45.74556170000001
4.8695675000000005,45.736781400000005
4.8660444,45.7450609
4.8650782,45.74511
4.8320183,45.7532609
4.8663125,45.7449861
6.580251900000001,44.898853700000004
4.8722281,45.7435679
4.8244691,45.7672383
4.825887000000001,45.7673664
4.7638776,45.736853
4.7643862,45.7372314
7.771724299999998,44.348494599999995
1.4428364000000002,43.6038807
6.013875600000001,45.4128119
1.457889,43.5975439
1.4857449,43.6319525
1.4864549,43.6314786
1.4865494,43.63171260000001
1.486437,43.63209270000001
7.7078992,44.3027179
6.6351042,45.5344329
6.6353268000000005,45.5347987
6.6360193,45.534838900000004
4.827260000000001,45.745291200000004
6.6472055,45.5555446
6.7277803,45.5227191
6.673496,45.525992
4.8721525,45.745086300000004
4.8770665,45.743116
4.8782342,45.743305199999995
4.8848994,45.7455477
4.8417302,45.7561585
4.8481884,45.7511701
1.4591949,43.5629529
1.4594040000000001,43.563132599999996
1.4595367000000001,43.5633947
1.4592755999999998,43.563484
1.458856,43.56322999999999
1.3909346,43.57850440000001
3.869184600000001,43.6131115
6.9755039,43.61354300000001
4.8048552,45.778555
4.828399600000001,45.761126299999994
4.828723299999999,45.765964
4.817945300000001,45.7677486
4.8202523,45.7664741
4.8203248,45.7665025
0.5390373,42.5933676
0.5385547,42.5947573
0.5398957,42.5894397
4.8741028,45.7350701
0.19685859999999997,42.28104890000001
4.835197,45.759859000000006
4.834512000000001,45.7566528
4.834737399999999,45.7565982
4.834278899999999,45.7567112
-0.27447650000000007,42.703242
6.987945299999999,43.604089300000005
4.858677900000001,45.7562648
4.858595,45.756691800000006
